date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2023-04-04,sh.600000,7.1900,7.2200,7.1600,7.2100,7.1900,25718197,184997550.0200,3,0.087600,1,0.278200,0
2023-04-06,sh.600000,7.2100,7.2200,7.1800,7.1800,7.2100,14740291,106072546.2000,3,0.050200,1,-0.416100,0
2023-04-07,sh.600000,7.1900,7.2400,7.1600,7.2300,7.1800,17465820,125889350.1300,3,0.059500,1,0.696400,0
2023-04-10,sh.600000,7.2100,7.2400,7.1900,7.2100,7.2300,17548307,126535778.9700,3,0.059800,1,-0.276600,0
2023-04-11,sh.600000,7.2300,7.2300,7.1800,7.1800,7.2100,20191251,145358006.5900,3,0.068800,1,-0.416100,0
2023-04-12,sh.600000,7.2000,7.2300,7.1700,7.2100,7.1800,19475694,140373569.7100,3,0.066400,1,0.417800,0
2023-04-13,sh.600000,7.2200,7.2900,7.2000,7.2500,7.2100,25779019,186717623.6600,3,0.087800,1,0.554800,0
2023-04-14,sh.600000,7.2800,7.3100,7.2500,7.2700,7.2500,25074604,182629852.3500,3,0.085400,1,0.275900,0
2023-04-17,sh.600000,7.2600,7.4000,7.2600,7.3900,7.2700,36027756,264817274.9700,3,0.122700,1,1.650600,0
2023-04-18,sh.600000,7.3800,7.5900,7.3700,7.5400,7.3900,77412335,582499847.8700,3,0.263700,1,2.029800,0
2023-04-19,sh.600000,7.4900,7.5800,7.4300,7.5300,7.5400,52269783,393443029.2900,3,0.178100,1,-0.132600,0
2023-04-20,sh.600000,7.5000,7.6900,7.5000,7.6800,7.5300,72340661,550359765.7300,3,0.246500,1,1.992000,0
2023-04-21,sh.600000,7.6700,7.7300,7.5700,7.5900,7.6800,50258973,383793225.2900,3,0.171200,1,-1.171900,0
2023-04-24,sh.600000,7.5900,7.6400,7.4700,7.4900,7.5900,43348471,326606926.2200,3,0.147700,1,-1.317500,0
2023-04-25,sh.600000,7.5300,7.6200,7.5200,7.5600,7.4900,42805282,323698544.5900,3,0.145800,1,0.934600,0
2023-04-26,sh.600000,7.5600,7.5600,7.4200,7.4600,7.5600,50919367,380460212.9000,3,0.173500,1,-1.322800,0
2023-04-27,sh.600000,7.4800,7.5100,7.4200,7.4800,7.4600,49269460,367760166.5000,3,0.167900,1,0.268100,0
2023-04-28,sh.600000,7.4700,7.6500,7.4700,7.6000,7.4800,38841289,294352873.0000,3,0.132300,1,1.604300,0
