指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
H11032.XSHG	SAC食品	SAC食品饮料指数	2009-06-15	2013-01-21	NA	NA	NA
H11033.XSHG	SAC纺织	SAC纺织服装指数	2009-06-15	2013-01-21	NA	NA	NA
H11034.XSHG	SAC木材	SAC木材家具指数	2009-06-15	2013-01-21	NA	NA	NA
H11035.XSHG	SAC造纸	SAC造纸印刷指数	2009-06-15	2013-01-21	NA	NA	NA
H11036.XSHG	SAC石化	SAC石油化工指数	2009-06-15	2013-01-21	NA	NA	NA
H11037.XSHG	SAC电子	SAC电子指数	2009-06-15	2013-01-21	NA	NA	NA
H11038.XSHG	SAC金属	SAC金属非金属指数	2009-06-15	2013-01-21	NA	NA	NA
H11039.XSHG	SAC机械	SAC机械设备仪表指数	2009-06-15	2013-01-21	NA	NA	NA
H11040.XSHG	SAC医药	SAC医药生物制品指数	2009-06-15	2013-01-21	NA	NA	NA
H11041.XSHG	AMAC公用	AMAC水电煤气指数	2009-06-15	0000-00-00	有	有	有
H11042.XSHG	AMAC建筑	AMAC建筑指数	2009-06-15	0000-00-00	有	有	有
H11043.XSHG	AMAC交运	AMAC交运仓储指数	2009-06-15	0000-00-00	有	有	有
H11044.XSHG	AMAC信息	AMAC信息技术指数	2009-06-15	0000-00-00	有	有	有
H11045.XSHG	AMAC批零	AMAC批发零售贸易指数	2009-06-15	0000-00-00	有	有	有
H11046.XSHG	AMAC金融	AMAC金融业指数	2009-06-15	0000-00-00	有	有	有
H11047.XSHG	AMAC地产	AMAC房地产指数	2009-06-15	0000-00-00	有	有	有
H11048.XSHG	SAC服务	SAC社会服务指数	2009-06-15	2013-01-21	NA	NA	NA
H11049.XSHG	AMAC文体	AMAC文化体育指数	2009-06-15	0000-00-00	有	有	有
H11050.XSHG	AMAC综企	AMAC综合企业指数	2009-06-15	0000-00-00	有	有	有
H11051.XSHG	钢铁产业	中证钢铁产业指数	2009-07-22	0000-00-00	NA	有	有
H11052.XSHG	智能电车	中证智能电动汽车指数	2009-07-22	0000-00-00	NA	有	有
H11053.XSHG	纺织产业	中证纺织产业指数	2009-07-22	0000-00-00	NA	有	有
H11054.XSHG	装备产业	中证装备产业指数	2009-07-22	0000-00-00	NA	有	有
H11055.XSHG	船舶产业	中证船舶产业指数	2009-07-22	0000-00-00	NA	有	有
H11057.XSHG	石化产业	中证石化产业指数	2009-07-22	0000-00-00	NA	有	有
H11058.XSHG	轻工产业	中证轻工产业指数	2009-07-22	0000-00-00	NA	有	有
H11059.XSHG	有色产业	中证有色金属产业指数	2009-07-22	0000-00-00	NA	有	有
H11060.XSHG	物流产业	中证物流产业指数	2009-07-22	0000-00-00	NA	有	有
H11061.XSHG	商品CFCI	中证商品期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11062.XSHG	农产CFCI	中证农产品期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11063.XSHG	金属CFCI	中证金属期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11064.XSHG	化工CFCI	中证化工材料期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11065.XSHG	能源CFCI	中证能源期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11066.XSHG	粮食CFCI	中证粮食期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11067.XSHG	工金CFCI	中证工业金属期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11068.XSHG	纺织CFCI	中证纺织材料期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11069.XSHG	油脂CFCI	中证油脂期货综合指数	2010-12-28	0000-00-00	NA	NA	NA
H11070.XSHG	中证短融50	中证短融50指数	2011-09-13	0000-00-00	有	NA	NA
H11071.XSHG	中证1-10国债	中证1-10年国债指数	2012-03-20	0000-00-00	NA	NA	NA
H11072.XSHG	中证中票50	中证中票50指数	2012-05-24	0000-00-00	有	NA	NA
H11073.XSHG	中证信用	中证信用债指数	2012-10-16	0000-00-00	NA	NA	NA
H11074.XSHG	中期企债	中证中期企业债指数	2012-10-16	0000-00-00	有	有	有
H11075.XSHG	长期国债	中证长期国债指数	2012-10-23	0000-00-00	NA	NA	NA
H11076.XSHG	中期综合	中证中期综合债指数	2012-11-26	0000-00-00	NA	有	有
H11077.XSHG	10年国债	上证10年期国债指数	2013-03-07	0000-00-00	有	NA	NA
H11078.XSHG	中高信用	中证中高等级信用债指数	2013-02-05	0000-00-00	NA	有	有
H11079.XSHG	中低信用	中证中低等级信用债指数	2013-02-05	0000-00-00	NA	有	有
H11080.XSHG	HGSZAAA	上证公司债AAA指数	2013-05-03	0000-00-00	有	有	有
H11081.XSHG	HGSZAA+	上证公司债AA+指数	2013-05-03	0000-00-00	有	有	有
H11082.XSHG	HGSZAA	上证公司债AA指数	2013-05-03	0000-00-00	有	有	有
H11083.XSHG	HGSZ1-3	上证公司债1-3年指数	2013-05-03	0000-00-00	有	有	有
H11084.XSHG	HGSZ3-5	上证公司债3-5年指数	2013-05-03	0000-00-00	有	有	有
H11085.XSHG	HGSZ5-7	上证公司债5-7年指数	2013-05-03	0000-00-00	有	有	有
H11086.XSHG	HGSZ7-10	上证公司债7-10年指数	2013-05-03	0000-00-00	有	有	有
H11087.XSHG	GSZAAA	中证公司债AAA指数	2013-05-03	0000-00-00	NA	有	有
H11088.XSHG	GSZAA+	中证公司债AA+指数	2013-05-03	0000-00-00	NA	有	有
H11089.XSHG	GSZAA	中证公司债AA指数	2013-05-03	0000-00-00	NA	有	有
H11090.XSHG	GSZ1-3	中证公司债1-3年指数	2013-05-03	0000-00-00	NA	有	有
H11091.XSHG	GSZ3-5	中证公司债3-5年指数	2013-05-03	0000-00-00	NA	有	有
H11092.XSHG	GSZ5-7	中证公司债5-7年指数	2013-05-03	0000-00-00	NA	有	有
H11093.XSHG	GSZ7-10	中证公司债7-10年指数	2013-05-03	0000-00-00	NA	有	有
H11094.XSHG	中票L50	中证中票流动性50指数	2013-05-16	0000-00-00	NA	NA	NA
H11095.XSHG	沪跨市中期中高债	上证跨市场中期中高收益信用债指数	2013-08-01	0000-00-00	NA	有	有
H11096.XSHG	中期信用L100	中证中期信用债流动性100指数	2013-07-04	0000-00-00	NA	NA	有
H11097.XSHG	中期中高收益L	中证中期中高收益信用债流动性指数	2013-07-04	0000-00-00	NA	NA	有
H11098.XSHG	沪城投债	上证城投债指数	2013-11-15	0000-00-00	有	有	有
H11099.XSHG	短期国债	中证短期国债指数	2013-08-20	0000-00-00	NA	NA	NA
H11101.XSHG	香港100	中证香港100指数(人民币)	2008-05-07	0000-00-00	NA	NA	NA
H11102.XSHG	非港内地	中证海外(不含香港)内地股人民币指数	2008-11-10	0000-00-00	NA	NA	NA
H11103.XSHG	香港内地50	中证香港内地股50指数	2008-11-10	0000-00-00	NA	NA	NA
H11104.XSHG	海外内地	中证海外内地股人民币指数	2008-11-10	0000-00-00	NA	NA	NA
H11105.XSHG	非台海外	中证海外股(不含台湾)人民币指数	2008-11-10	0000-00-00	NA	NA	NA
H11106.XSHG	非台华股	中证华股(不含台湾)人民币指数	2008-11-10	0000-00-00	NA	有	有
H11108.XSHG	两岸三地	中证两岸三地500指数	2010-01-18	0000-00-00	NA	有	有
H11111.XSHG	香港F50	中证锐联香港基本面50指数(人民币)	2010-06-02	0000-00-00	NA	NA	NA
H11112.XSHG	非港内地USD	中证海外(不含香港)内地股美元指数	2008-11-10	0000-00-00	NA	NA	NA
H11113.XSHG	中国低碳	中国低碳指数	2011-02-16	0000-00-00	NA	有	有
H11114.XSHG	海外内地USD	中证海外内地股美元指数	2008-11-10	0000-00-00	NA	NA	NA
H11115.XSHG	非台海外USD	中证海外股(不含台湾)美元指数	2008-11-10	0000-00-00	NA	NA	有
H11116.XSHG	非台华股USD	中证华股(不含台湾)美元指数	2008-11-10	0000-00-00	NA	NA	NA
H11118.XSHG	两岸三地美元	中证两岸三地500美元指数	2010-01-18	0000-00-00	NA	NA	NA
H11121.XSHG	富国多空	沪深300富国130/30多空策略指数	2011-07-26	0000-00-00	有	有	有
H11125.XSHG	非台海外HKD	中证海外股(不含台湾)港元指数	2008-11-10	0000-00-00	NA	NA	NA
H11126.XSHG	非台华股HKD	中证华股(不含台湾)港元指数	2008-11-10	0000-00-00	NA	NA	NA
H11128.XSHG	两岸三地港元	中证两岸三地500港元指数	2010-01-18	0000-00-00	NA	NA	NA
H11130.XSHG	海外中国品牌80	中证海外中国品牌80指数(人民币)	2011-06-10	2018-02-05	NA	NA	NA
H11131.XSHG	海外中国品牌80(美元)	中证海外中国品牌80指数(美元)	2011-06-10	2018-02-05	NA	NA	NA
H11132.XSHG	中证东盟80	中证东盟80指数	2011-08-12	0000-00-00	NA	NA	NA
H11133.XSHG	中证东盟80美元	中证东盟80美元指数	2011-08-12	0000-00-00	NA	NA	NA
H11134.XSHG	中证中国东盟180	中证中国东盟180指数	2011-08-12	0000-00-00	NA	有	有
H11135.XSHG	中证中国东盟180美元	中证中国东盟180美元指数	2011-08-12	0000-00-00	NA	NA	NA
H11136.XSHG	中国互联网(人民币)	中证海外中国互联网指数(人民币)	2011-09-20	0000-00-00	NA	NA	NA
H11137.XSHG	中国互联网(美元)	中证海外中国互联网指数(美元)	2011-09-20	0000-00-00	NA	NA	NA
H11138.XSHG	两岸三地新台币	中证两岸三地500新台币指数	2010-01-18	0000-00-00	NA	NA	NA
H11141.XSHG	香港红利	中证香港红利指数(人民币)	2009-07-23	0000-00-00	NA	NA	NA
H11142.XSHG	HKT香港地产	中证香港上市可交易香港地产指数	2010-06-02	0000-00-00	NA	NA	NA
H11145.XSHG	HKT内地银行	中证香港上市可交易内地银行指数	2010-06-02	0000-00-00	NA	NA	NA
H11146.XSHG	HKT内地金融	中证香港上市可交易内地金融指数	2010-06-02	0000-00-00	NA	NA	NA
H11147.XSHG	HKT香港地产人民币	中证香港上市可交易香港地产人民币指数	2010-06-02	0000-00-00	NA	NA	NA
H11148.XSHG	HKT内地地产人民币	中证香港上市可交易内地地产人民币指数	2010-06-02	0000-00-00	NA	NA	NA
H11149.XSHG	HKT内地消费人民币	中证香港上市可交易内地消费人民币指数	2010-06-02	0000-00-00	NA	NA	NA
H11150.XSHG	HKT内地银行人民币	中证香港上市可交易内地银行人民币指数	2010-06-02	0000-00-00	NA	NA	NA
H11151.XSHG	HKT内地金融人民币	中证香港上市可交易内地金融人民币指数	2010-06-02	0000-00-00	NA	NA	NA
H11154.XSHG	内地民营人民币	中证香港内地民营企业人民币指数	2010-07-30	0000-00-00	NA	NA	NA
H11155.XSHG	内地国有人民币	中证香港内地国有企业人民币指数	2010-07-30	0000-00-00	NA	NA	NA
H11156.XSHG	中国可选消费	中证海外中国可选消费指数（人民币）	2012-02-08	0000-00-00	NA	NA	NA
H11157.XSHG	中国可选消费（美元）	中证海外中国可选消费指数（美元）	2012-02-08	0000-00-00	NA	NA	NA
H11158.XSHG	中国主要消费	中证海外中国主要消费指数（人民币）	2012-02-08	0000-00-00	NA	NA	NA
H11159.XSHG	中国主要消费（美元）	中证海外中国主要消费指数（美元）	2012-02-08	0000-00-00	NA	NA	NA
H11160.XSHG	中国五年规划	中证海外中国五年规划指数（人民币）	2012-04-23	0000-00-00	NA	NA	NA
H11161.XSHG	中国五年规划（美元）	中证海外中国五年规划指数（美元）	2012-04-23	0000-00-00	NA	NA	NA
H11162.XSHG	中国城市化	中证海外中国城市化指数（人民币）	2012-04-23	0000-00-00	NA	NA	NA
H11163.XSHG	中国城市化（美元）	中证海外中国城市化指数（美元）	2012-04-23	0000-00-00	NA	NA	NA
H11164.XSHG	香港300	中证香港300指数(港元)	2012-07-20	0000-00-00	NA	NA	NA
H11165.XSHG	香港200	中证香港200指数(港元)	2012-07-20	0000-00-00	NA	NA	NA
H11166.XSHG	HK300内地港币	中证香港300内地股港币指数	2012-10-16	0000-00-00	NA	NA	NA
H11167.XSHG	HK300本地港币	中证香港300本地股港币指数	2012-10-16	0000-00-00	NA	NA	NA
H11168.XSHG	香港300	中证香港300指数(人民币)	2012-07-20	0000-00-00	NA	NA	NA
H11169.XSHG	香港200	中证香港200指数(人民币)	2012-07-20	0000-00-00	NA	NA	NA
H11170.XSHG	HK300内地人民币	中证香港300内地股人民币指数	2012-10-16	0000-00-00	NA	NA	NA
H11171.XSHG	HK300本地人民币	中证香港300本地股人民币指数	2012-10-16	0000-00-00	NA	NA	NA
H11172.XSHG	HK300V港币	中证香港300价值港币指数	2012-10-16	0000-00-00	NA	NA	NA
H11173.XSHG	HK300G港币	中证香港300成长港币指数	2012-10-16	0000-00-00	NA	NA	NA
H11174.XSHG	HK300RV港币	中证香港300相对价值港币指数	2012-10-16	0000-00-00	NA	NA	NA
H11175.XSHG	HK300RG港币	中证香港300相对成长港币指数	2012-10-16	0000-00-00	NA	NA	NA
H11176.XSHG	HK300V人民币	中证香港300价值人民币指数	2012-10-16	0000-00-00	NA	NA	NA
H11177.XSHG	HK300G人民币	中证香港300成长人民币指数	2012-10-16	0000-00-00	NA	NA	NA
H11178.XSHG	HK300RV人民币	中证香港300相对价值人民币指数	2012-10-16	0000-00-00	NA	NA	NA
H11179.XSHG	HK300RG人民币	中证香港300相对成长人民币指数	2012-10-16	0000-00-00	NA	NA	NA
H11180.XSHG	合成期权	中证股债动态合成期权策略指数	2012-10-16	0000-00-00	NA	NA	NA
H11181.XSHG	金砖国家	中证金砖国家60指数	2012-10-16	0000-00-00	NA	有	有
H11182.XSHG	金砖USD	中证金砖国家60美元指数	2012-10-16	0000-00-00	NA	NA	NA
H11183.XSHG	金砖(HK)	中证金砖国家(香港)60指数	2012-10-16	0000-00-00	NA	NA	NA
H11184.XSHG	金砖(HK)U	中证金砖国家(香港)60美元指数	2012-10-16	0000-00-00	NA	NA	NA
H11185.XSHG	3年中高信用	中证3年期中高等级信用债指数	2013-11-01	0000-00-00	NA	有	有
H20001.INDX	环渤海全收益	中证环渤海龙头企业全收益指数	2012-09-27	0000-00-00	有	有	有
H20002.INDX	长三角全收益	中证长三角龙头企业全收益指数	2012-09-27	0000-00-00	有	有	有
H20003.INDX	泛珠三角全收益	中证泛珠三角龙头企业全收益指数	2012-09-27	0000-00-00	有	有	有
H20004.INDX	中部崛起全收益	中证中部崛起龙头企业全收益指数	2012-09-27	0000-00-00	有	有	有
H20005.INDX	西部开发全收益	中证西部大开发龙头企业全收益指数	2012-09-27	0000-00-00	有	有	有
H20006.INDX	东北振兴全收益	中证东北振兴龙头企业全收益指数	2012-09-27	0000-00-00	有	有	有
H20007.INDX	芯片产业全收益	中证芯片产业全收益指数	2012-12-20	0000-00-00	有	有	有
H20010.INDX	800能源全收益	中证800能源全收益指数	2012-12-21	0000-00-00	有	有	有
H20011.INDX	800材料全收益	中证800原材料全收益指数	2012-12-21	0000-00-00	有	有	有
H20012.INDX	800资本全收益	中证800资本品全收益指数	2012-12-21	0000-00-00	有	有	有
H20013.INDX	800商业全收益	中证800商业服务与商业用品全收益指数	2012-12-21	0000-00-00	有	有	有
H20014.INDX	800运输全收益	中证800运输全收益指数	2012-12-21	0000-00-00	有	有	有
H20015.INDX	800汽车全收益	中证800汽车与零部件全收益指数	2012-12-21	0000-00-00	有	有	有
H20016.INDX	800耐用全收益	中证800耐用消费品与服装全收益指数	2012-12-21	0000-00-00	有	有	有
H20017.INDX	800服务全收益	中证800消费者服务全收益指数	2012-12-21	0000-00-00	有	有	有
H20018.INDX	800媒体全收益	中证800媒体全收益指数	2012-12-21	0000-00-00	有	有	有
H20019.INDX	800零售全收益	中证800零售业全收益指数	2012-12-21	0000-00-00	有	有	有
H20020.INDX	800食零全收益	中证800食品与零售全收益指数	2012-12-21	0000-00-00	有	有	有
H20021.INDX	800食品全收益	中证800食品饮料全收益指数	2012-12-21	0000-00-00	有	有	有
H20022.INDX	800银行全收益	中证800银行全收益指数	2012-12-21	0000-00-00	有	有	有
H20023.INDX	800综金全收益	中证800资本市场全收益指数	2012-12-21	0000-00-00	有	有	有
H20024.INDX	800保险全收益	中证800保险全收益指数	2012-12-21	0000-00-00	有	有	有
H20025.INDX	800地产全收益	中证800地产全收益指数	2012-12-21	0000-00-00	有	有	有
H20026.INDX	800软件全收益	中证800软件与服务全收益指数	2012-12-21	0000-00-00	有	有	有
H20027.INDX	800硬件全收益	中证800硬件与设备全收益指数	2012-12-21	0000-00-00	有	有	有
H20028.INDX	800半导全收益	中证800半导体产品与设备全收益指数	2012-12-21	0000-00-00	有	有	有
H20029.INDX	800通信全收益	中证800通信设备全收益指数	2012-12-21	0000-00-00	有	有	有
H20030.INDX	800公用全收益	中证800公用事业全收益指数	2012-12-21	0000-00-00	有	有	有
H20031.INDX	800有色全收益	中证800有色金属全收益指数	2012-12-21	0000-00-00	有	有	有
H20032.INDX	800机械全收益	中证800机械全收益指数	2012-12-21	0000-00-00	有	有	有
H20033.INDX	800证保全收益	中证800证券保险全收益指数	2012-12-21	0000-00-00	有	有	有
H20034.INDX	300有色全收益	沪深300有色金属全收益指数	2012-12-21	0000-00-00	有	有	有
H20035.INDX	300非银全收益	沪深300非银行金融全收益指数	2012-12-21	0000-00-00	有	有	有
H20068.INDX	中证文化全收益	中证文化产业全收益指数	2013-03-26	0000-00-00	有	有	有
H20073.INDX	红利回报全收益	中证红利回报全收益指数	2013-03-27	0000-00-00	有	有	有
H20074.INDX	中证服务全收益	中证服务业全收益指数	2013-03-26	0000-00-00	有	有	有
H20079.INDX	300信服全收益	沪深300信息服务全收益指数	2013-05-09	0000-00-00	有	有	有
H20080.INDX	300消服全收益	沪深300消费品与服务全收益指数	2013-05-09	0000-00-00	有	有	有
H20081.INDX	300公运全收益	沪深300公用事业与运输全收益指数	2013-05-09	0000-00-00	有	有	有
H20086.INDX	800金融全收益	中证800金融全收益指数	2013-05-09	0000-00-00	有	有	有
H20087.INDX	500动态全收益	中证500动态全收益指数	2013-05-09	0000-00-00	有	有	有
H20088.INDX	500稳定全收益	中证500稳定全收益指数	2013-05-09	0000-00-00	有	有	有
H20089.INDX	红利潜力全收益	中证红利潜力全收益指数	2013-07-02	0000-00-00	有	有	有
H20090.INDX	能源红利全收益	中证能源红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20091.INDX	材料红利全收益	中证原材料红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20092.INDX	工业红利全收益	中证工业红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20093.INDX	可选红利全收益	中证可选消费红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20094.INDX	消费红利全收益	中证主要消费红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20095.INDX	医药红利全收益	中证医药卫生红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20096.INDX	金融红利全收益	中证金融地产红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20097.INDX	信息红利全收益	中证信息技术红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20098.INDX	电信红利全收益	中证电信业务红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20099.INDX	公用红利全收益	中证公用事业红利全收益指数	2013-07-02	0000-00-00	有	有	有
H20100.INDX	H300上游(全)	中证香港300上游全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20101.INDX	H300中游(全)	中证香港300中游全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20102.INDX	H300下游(全)	中证香港300下游全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20103.INDX	H300周期(全)	中证香港300周期全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20104.INDX	H300非周期(全)	中证香港300非周期全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20105.INDX	H300地产(全)	中证香港300地产全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20106.INDX	H300金融服务(全)	中证香港300金融服务全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20107.INDX	H300现代服务(全)	中证香港300现代服务全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20109.INDX	H300消费(全)	中证香港300消费全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20110.INDX	H300上游(全)CNY	中证香港300上游人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20111.INDX	H300中游(全)CNY	中证香港300中游人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20112.INDX	H300下游(全)CNY	中证香港300下游人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20113.INDX	H300周期(全)CNY	中证香港300周期人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20114.INDX	H300非周期(全)CNY	中证香港300非周期人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20115.INDX	H300地产(全)CNY	中证香港300地产人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20116.INDX	H300金融服务(全)CNY	中证香港300金融服务人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20117.INDX	H300现代服务(全)CNY	中证香港300现代服务人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20119.INDX	H300消费(全)CNY	中证香港300消费人民币全收益指数	2013-05-21	0000-00-00	NA	NA	有
H20124.INDX	安中动态全收益	沪深300安中动态策略全收益指数	2013-07-01	0000-00-00	有	有	有
H20125.INDX	优化成长全收益	中证Axioma300优化高成长全收益指数	2013-07-03	2016-01-04	NA	NA	NA
H20126.INDX	优化价值全收益	中证Axioma300优化高价值全收益指数	2013-07-03	2016-01-04	NA	NA	NA
H20127.INDX	优化高贝全收益	中证Axioma300优化高预测Beta全收益指数	2013-07-03	2016-01-04	NA	NA	NA
H20128.INDX	优化低贝全收益	中证Axioma300优化低预测Beta全收益指数	2013-07-03	2016-01-04	NA	NA	NA
H20129.INDX	优化高波全收益	中证Axioma300优化高波动全收益指数	2013-07-03	2016-01-04	NA	NA	NA
H20130.INDX	优化低波全收益	中证Axioma300优化低波动全收益指数	2013-07-03	2016-01-04	NA	NA	NA
H20131.INDX	中国消费(全)	中证海外中国消费全收益指数	2013-06-05	0000-00-00	有	NA	有
H20132.INDX	中国消费(全)USD	中证海外中国消费美元全收益指数	2013-06-05	0000-00-00	有	NA	有
H20133.INDX	金砖DR全收益	中证金砖国家60DR全收益指数	2013-07-12	0000-00-00	有	有	有
H20134.INDX	金砖DRU全收益	中证金砖国家60DR美元全收益指数	2013-07-12	0000-00-00	有	有	有
H20135.INDX	金砖DR（HK）全收益	中证金砖国家（香港）60DR全收益指数	2013-07-12	0000-00-00	有	NA	有
H20136.INDX	金砖DR(HK)U全收益	中证金砖国家（香港）60DR美元全收益指数	2013-07-12	0000-00-00	有	NA	有
H20137.INDX	中证城镇全收益	中证城镇化全收益指数	2013-08-26	0000-00-00	有	有	有
H20138.INDX	智慧城镇全收益	中证智慧城镇全收益指数	2013-08-26	0000-00-00	有	有	有
H20139.INDX	绿色城镇全收益	中证绿色城镇全收益指数	2013-08-26	0000-00-00	有	有	有
H20140.INDX	城镇交通全收益	中证城镇交通全收益指数	2013-08-26	0000-00-00	有	有	有
H20141.INDX	智能交通全收益	中证智能交通全收益指数	2013-08-26	0000-00-00	有	有	有
H20142.INDX	城镇消费全收益	中证城镇消费全收益指数	2013-08-26	0000-00-00	有	有	有
H20143.INDX	新基建全收益	中证新型基础设施建设主题全收益指数	2013-08-26	0000-00-00	有	有	有
H20164.INDX	汽车汽配全收益	中证全指汽车与汽车零配件全收益指数	2013-07-15	0000-00-00	有	有	有
H20165.INDX	房地产全收益	中证全指房地产全收益指数	2013-07-15	0000-00-00	有	有	有
H20166.INDX	机械制造全收益	中证全指机械制造全收益指数	2013-07-15	0000-00-00	有	有	有
H20168.INDX	证券公司全收益	中证全指证券公司全收益指数	2013-07-15	0000-00-00	有	有	有
H20169.INDX	资本品全收益	中证全指资本品全收益指数	2013-07-15	0000-00-00	有	有	有
H20170.INDX	商业指数全收益	中证全指商业服务与商业用品全收益指数	2013-07-15	0000-00-00	有	有	有
H20171.INDX	运输指数全收益	中证全指运输全收益指数	2013-07-15	0000-00-00	有	有	有
H20172.INDX	耐用服装全收益	中证全指耐用消费品与服装全收益指数	2013-07-15	0000-00-00	有	有	有
H20173.INDX	消费者全收益	中证全指消费者服务全收益指数	2013-07-15	0000-00-00	有	有	有
H20174.INDX	媒体指数全收益	中证全指媒体全收益指数	2013-07-15	0000-00-00	有	有	有
H20175.INDX	零售指数全收益	中证全指零售业全收益指数	2013-07-15	0000-00-00	有	有	有
H20176.INDX	食药零售全收益	中证全指食品与主要用品零售全收益指数	2013-07-15	0000-00-00	有	有	有
H20177.INDX	全指食品全收益	中证全指食品饮料全收益指数	2013-07-15	0000-00-00	有	有	有
H20178.INDX	医疗保健全收益	中证全指医疗保健设备与服务全收益指数	2013-07-15	0000-00-00	有	有	有
H20179.INDX	医药生物全收益	中证全指医药生物全收益指数	2013-07-15	0000-00-00	有	有	有
H20180.INDX	银行指数全收益	中证全指银行全收益指数	2013-07-15	0000-00-00	有	有	有
H20181.INDX	综合金融全收益	中证全指综合金融全收益指数	2013-07-15	2016-12-12	NA	NA	NA
H20182.INDX	软件服务全收益	中证全指软件与服务全收益指数	2013-07-15	0000-00-00	有	有	有
H20183.INDX	硬件设备全收益	中证全指技术硬件与设备全收益指数	2013-07-15	0000-00-00	有	有	有
H20184.INDX	半导体全收益	中证全指半导体产品与设备全收益指数	2013-07-15	0000-00-00	有	有	有
H20186.INDX	保险指数全收益	中证全指保险全收益指数	2013-07-15	0000-00-00	有	有	有
H20187.INDX	化学制品全收益	中证全指化学制品全收益指数	2013-07-15	0000-00-00	有	有	有
H20188.INDX	制药指数全收益	中证全指制药全收益指数	2013-07-15	0000-00-00	有	有	有
H20189.INDX	电气设备全收益	中证全指电气设备全收益指数	2013-07-15	0000-00-00	有	有	有
H20190.INDX	电子仪器全收益	中证全指电子设备与仪器全收益指数	2013-07-15	0000-00-00	有	有	有
H20191.INDX	金属采矿全收益	中证全指有色金属全收益指数	2013-07-15	0000-00-00	有	有	有
H20192.INDX	食品指数全收益	中证全指包装食品与肉类全收益指数	2013-07-15	0000-00-00	有	有	有
H20193.INDX	纺织服装全收益	中证全指纺织服装全收益指数	2013-07-15	0000-00-00	有	有	有
H20194.INDX	汽车配件全收益	中证全指汽车零配件全收益指数	2013-07-15	0000-00-00	有	有	有
H20195.INDX	建筑工程全收益	中证全指建筑与工程全收益指数	2013-07-15	0000-00-00	有	有	有
H20196.INDX	耐用消费全收益	中证全指家庭耐用消费品全收益指数	2013-07-15	0000-00-00	有	有	有
H20197.INDX	多元零售全收益	中证全指多元化零售全收益指数	2013-07-15	0000-00-00	有	有	有
H20198.INDX	油气燃料全收益	中证全指石油与天然气全收益指数	2013-07-15	0000-00-00	有	有	有
H20199.INDX	电力指数全收益	中证全指电力公用事业全收益指数	2013-07-15	0000-00-00	有	有	有
H20200.INDX	交通设施全收益	中证全指交通基本设施全收益指数	2013-07-15	0000-00-00	有	有	有
H20201.INDX	贸易经销全收益	中证全指贸易公司与经销商全收益指数	2013-07-15	0000-00-00	有	有	有
H20202.INDX	软件指数全收益	中证全指软件全收益指数	2013-07-15	0000-00-00	有	有	有
H20203.INDX	信息服务全收益	中证全指信息技术服务全收益指数	2013-07-15	0000-00-00	有	有	有
H20204.INDX	酒店休闲全收益	中证全指酒店、餐馆与休闲全收益指数	2013-07-15	0000-00-00	有	有	有
H20205.INDX	饮料指数全收益	中证全指饮料全收益指数	2013-07-15	0000-00-00	有	有	有
H20206.INDX	纸类林业全收益	中证全指纸类与林业产品全收益指数	2013-07-15	0000-00-00	有	有	有
H20207.INDX	电脑设备全收益	中证全指电脑与外围设备全收益指数	2013-07-15	0000-00-00	有	有	有
H20208.INDX	专营零售全收益	中证全指专营零售全收益指数	2013-07-15	0000-00-00	有	有	有
H20209.INDX	建筑产品全收益	中证全指建筑产品全收益指数	2013-07-15	0000-00-00	有	有	有
