指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
000090.XSHG	上证流通	上证流通指数	2010-12-02	0000-00-00	有	有	有
000091.XSHG	沪财中小	上证财富中小盘指数	2011-04-06	0000-00-00	有	有	有
000092.XSHG	资源50	上证资源50指数	2011-05-10	0000-00-00	有	有	有
000093.XSHG	180分层	上证180行业分层等权重指数	2011-05-24	0000-00-00	有	有	有
000094.XSHG	上证上游	上证上游产业指数	2011-05-10	0000-00-00	有	有	有
000095.XSHG	上证中游	上证中游产业指数	2011-05-10	0000-00-00	有	有	有
000096.XSHG	上证下游	上证下游产业指数	2011-05-10	0000-00-00	有	有	有
000097.XSHG	高端装备	上证高端装备制造60指数	2011-05-24	0000-00-00	有	有	有
000098.XSHG	上证F200	上证基本面200指数	2011-07-01	0000-00-00	有	有	有
000099.XSHG	上证F300	上证基本面300指数	2011-07-01	0000-00-00	有	有	有
000100.XSHG	上证F500	上证基本面500指数	2011-07-01	0000-00-00	有	有	有
000101.XSHG	5年信用	上证5年期信用债指数	2013-04-01	0000-00-00	有	有	有
000102.XSHG	沪投资品	上证投资品指数	2011-06-13	0000-00-00	有	有	有
000103.XSHG	沪消费品	上证消费品指数	2011-06-13	0000-00-00	有	有	有
000104.XSHG	380能源	上证380能源指数	2011-06-13	0000-00-00	有	有	有
000105.XSHG	380材料	上证380原材料指数	2011-06-13	0000-00-00	有	有	有
000106.XSHG	380工业	上证380工业指数	2011-06-13	0000-00-00	有	有	有
000107.XSHG	380可选	上证380可选消费指数	2011-06-13	0000-00-00	有	有	有
000108.XSHG	380消费	上证380主要消费指数	2011-06-13	0000-00-00	有	有	有
000109.XSHG	380医药	上证380医药卫生指数	2011-06-13	0000-00-00	有	有	有
000110.XSHG	380金融	上证380金融地产指数	2011-06-13	0000-00-00	有	有	有
000111.XSHG	380信息	上证380信息技术指数	2011-06-13	0000-00-00	有	有	有
000112.XSHG	380电信	上证380电信业务指数	2011-06-13	0000-00-00	有	有	有
000113.XSHG	380公用	上证380公用事业指数	2011-06-13	0000-00-00	有	有	有
000114.XSHG	持续产业	上证可持续发展产业主题指数	2011-08-22	0000-00-00	有	有	有
000115.XSHG	380等权	上证380等权重指数	2011-08-12	0000-00-00	有	有	有
000116.XSHG	信用100	上证信用债100指数	2013-02-26	0000-00-00	有	有	有
000117.XSHG	380成长	上证380成长指数	2011-10-18	0000-00-00	有	有	有
000118.XSHG	380价值	上证380价值指数	2011-10-18	0000-00-00	有	有	有
000119.XSHG	380R成长	上证380相对成长指数	2011-10-18	0000-00-00	有	有	有
000120.XSHG	380R价值	上证380相对价值指数	2011-10-18	0000-00-00	有	有	有
000121.XSHG	医药主题	上证医药主题指数	2011-10-18	0000-00-00	有	有	有
000122.XSHG	农业主题	上证农业主题指数	2011-10-18	0000-00-00	有	有	有
000123.XSHG	180动态	上证180动态指数	2013-02-08	0000-00-00	有	有	有
000124.XSHG	100等权	上证100等权重指数	2011-12-15	2012-01-09	NA	NA	NA
000125.XSHG	180稳定	上证180稳定指数	2013-02-08	0000-00-00	有	有	有
000126.XSHG	消费50	上证消费50指数	2011-12-09	0000-00-00	有	有	有
000128.XSHG	380基本	上证380基本面加权指数	2012-01-09	0000-00-00	有	有	有
000129.XSHG	180波动	上证180波动率加权指数	2012-01-09	0000-00-00	有	有	有
000130.XSHG	380波动	上证380波动率加权指数	2012-01-09	0000-00-00	有	有	有
000131.XSHG	上证高新	上证高新技术企业指数	2012-02-10	0000-00-00	有	有	有
000132.XSHG	上证100	上证100指数	2012-04-20	0000-00-00	有	有	有
000133.XSHG	上证150	上证150指数	2012-04-20	0000-00-00	有	有	有
000134.XSHG	上证银行	上证银行股指数	2012-05-29	0000-00-00	有	有	有
000135.XSHG	180高贝	上证180高贝塔指数	2012-08-06	0000-00-00	有	有	有
